"Name","Commuting by Means of Transportation"
"Description","The share of individuals who worked in the last week by their usual means of transportation.&nbsp;""Public transit"" includes subway, bus, railroad, and ferry; ""Carpool, Taxi, Other"" includes motorcycle or any other method not listed."
"Source Notes","U.S. Census Bureau, American Community Survey 1-Year Estimates, Table B08006 (2012-2019); retrieved from&nbsp;<a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>."
"Notes",""

Location,Means of Transportation,TimeFrame,DataFormat,Data,Fips
East Harlem,Bicycle,2017,Percent,0.00922,111
Washington Heights,Bicycle,2017,Percent,0.00603,112
Mott Haven,Bicycle,2017,Percent,0.00295,201
Hunts Point,Bicycle,2017,Percent,0.00295,202
Morrisania,Bicycle,2017,Percent,0,203
Concourse/Highbridge,Bicycle,2017,Percent,0.0171,204
University Heights,Bicycle,2017,Percent,0.00992,205
East Tremont,Bicycle,2017,Percent,0,206
Bedford Park,Bicycle,2017,Percent,0.00353,207
Riverdale,Bicycle,2017,Percent,0.00929,208
Unionport/Soundview,Bicycle,2017,Percent,0.00225,209
Throgs Neck,Bicycle,2017,Percent,0,210
Pelham Parkway,Bicycle,2017,Percent,0.00841,211
Williamsbridge,Bicycle,2017,Percent,0.00702,212
Williamsburg/Greenpoint,Bicycle,2017,Percent,0.04235,301
Fort Greene/Brooklyn Hts,Bicycle,2017,Percent,0.03087,302
Bedford Stuyvesant,Bicycle,2017,Percent,0.03426,303
Bushwick,Bicycle,2017,Percent,0.02197,304
East New York,Bicycle,2017,Percent,0.00534,305
Park Slope,Bicycle,2017,Percent,0.051,306
Sunset Park,Bicycle,2017,Percent,0.01138,307
Crown Heights North,Bicycle,2017,Percent,0.02493,308
Crown Heights South,Bicycle,2017,Percent,0.01865,309
Bay Ridge,Bicycle,2017,Percent,0.00495,310
Bensonhurst,Bicycle,2017,Percent,0.00933,311
Borough Park,Bicycle,2017,Percent,0.01814,312
Flatbush/Midwood,Bicycle,2017,Percent,0.00761,314
Sheepshead Bay,Bicycle,2017,Percent,0.00557,315
East Flatbush,Bicycle,2017,Percent,0.00689,317
Canarsie,Bicycle,2017,Percent,0.00403,318
Astoria,Bicycle,2017,Percent,0.01219,401
Sunnyside/Woodside,Bicycle,2017,Percent,0.01068,402
Jackson Heights,Bicycle,2017,Percent,0.01006,403
Elmhurst/Corona,Bicycle,2017,Percent,0.00662,404
Ridgewood/Glendale,Bicycle,2017,Percent,0.0068,405
Rego Park/Forest Hills,Bicycle,2017,Percent,0.00351,406
Flushing,Bicycle,2017,Percent,0.00392,407
Fresh Meadows/Briarwood,Bicycle,2017,Percent,0,408
Woodhaven,Bicycle,2017,Percent,0.0032,409
Howard Beach,Bicycle,2017,Percent,0,410
Bayside,Bicycle,2017,Percent,0.00173,411
Jamaica/St. Albans,Bicycle,2017,Percent,0.00491,412
Queens Village,Bicycle,2017,Percent,0.00091,413
The Rockaways,Bicycle,2017,Percent,0.00118,414
St. George,Bicycle,2017,Percent,0.0054,501
South Beach,Bicycle,2017,Percent,0.00199,502
Tottenville,Bicycle,2017,Percent,0.00326,503
Bronx,Bicycle,2017,Percent,0.00593,36005
Brooklyn,Bicycle,2017,Percent,0.01726,36047
Manhattan,Bicycle,2017,Percent,0.02288,36061
Queens,Bicycle,2017,Percent,0.00493,36081
Staten Island,Bicycle,2017,Percent,0.00366,36085
New York City,Bicycle,2017,Percent,0.0127,3651000
Battery Park/Tribeca,Bicycle,2018,Percent,0.03117,101
Greenwich Village,Bicycle,2018,Percent,0.03117,102
Lower East Side,Bicycle,2018,Percent,0.06907,103
Chelsea/Clinton,Bicycle,2018,Percent,0.02169,104
Midtown Business District,Bicycle,2018,Percent,0.02169,105
